Date,NIFTY50,USDINR,GOLD_INR,GOLD_USD,NIFTYBEES
2022-12-27,18132.30078125,82.90290069580078,31.11476707458496,1814.800048828125,198.0
2022-12-28,18122.5,82.7761001586914,30.00002098083496,1807.9000244140625,197.99000549316406
2022-12-29,18191.0,82.85199737548828,30.927492141723633,1819.5,198.77999877929688
2022-12-30,18105.30078125,82.83509826660156,30.972076416015625,1819.699951171875,198.0399932861328
2023-01-02,18197.44921875,82.74980163574219,,,199.33999633789062
2023-01-03,18232.55078125,82.70600128173828,30.642114639282227,1839.699951171875,199.67999267578125
2023-01-04,18042.94921875,82.78569793701172,31.0790958404541,1852.800048828125,197.6699981689453
2023-01-05,17992.150390625,82.66649627685547,31.105846405029297,1834.800048828125,197.07000732421875
2023-01-06,17859.44921875,82.64520263671875,32.7021598815918,1864.199951171875,195.72000122070312
2023-01-09,18101.19921875,82.27339935302734,32.89836120605469,1872.699951171875,198.27999877929688
2023-01-10,17914.150390625,82.18009948730469,33.3085823059082,1871.5999755859375,196.1300048828125
2023-01-11,17895.69921875,81.63739776611328,33.9417610168457,1874.5999755859375,196.1300048828125
2023-01-12,17858.19921875,81.63179779052734,34.390010833740234,1895.5,195.61000061035156
2023-01-13,17956.599609375,81.1156005859375,34.7755126953125,1918.4000244140625,196.61000061035156
2023-01-16,17894.849609375,81.27799987792969,,,196.05999755859375
2023-01-17,18053.30078125,81.65260314941406,34.614139556884766,1907.199951171875,197.47000122070312
2023-01-18,18165.349609375,81.52549743652344,33.376953125,1904.4000244140625,198.64999389648438
2023-01-19,18107.849609375,81.43599700927734,33.1707649230957,1922.0999755859375,198.42999267578125
2023-01-20,18027.650390625,81.23979949951172,32.87491226196289,1926.4000244140625,197.4499969482422
2023-01-23,18118.55078125,80.97599792480469,34.085201263427734,1927.0999755859375,198.44000244140625
2023-01-24,18118.30078125,81.48799896240234,34.7934455871582,1933.9000244140625,198.4199981689453
2023-01-25,17891.94921875,81.60189819335938,35.259620666503906,1941.199951171875,196.0399932861328
2023-01-26,,81.50270080566406,35.13411331176758,1929.0999755859375,
2023-01-27,17604.349609375,81.44509887695312,34.91896438598633,1928.5999755859375,193.0
2023-01-30,17648.94921875,81.50800323486328,34.43483352661133,1922.9000244140625,193.25
2023-01-31,17662.150390625,81.57990264892578,34.515525817871094,1929.5,193.44000244140625
2023-02-01,17616.30078125,81.76840209960938,35.582366943359375,1927.800048828125,193.1300048828125
2023-02-02,17610.400390625,81.71029663085938,34.91896438598633,1916.300048828125,192.91000366210938
2023-02-03,17854.05078125,82.0458984375,33.89693832397461,1862.9000244140625,195.1199951171875
2023-02-06,17764.599609375,82.22599792480469,32.641822814941406,1866.199951171875,194.47999572753906
2023-02-07,17721.5,82.75499725341797,28.858564376831055,1871.699951171875,194.0399932861328
2023-02-08,17871.69921875,82.74189758300781,28.15032196044922,1877.4000244140625,195.5399932861328
2023-02-09,17893.44921875,82.65950012207031,26.47385597229004,1866.199951171875,195.88999938964844
2023-02-10,17856.5,82.533203125,26.402135848999023,1862.800048828125,195.49000549316406
2023-02-13,17770.900390625,82.51300048828125,26.20490264892578,1851.9000244140625,194.60000610351562
2023-02-14,17929.849609375,82.59739685058594,27.2896785736084,1854.0,195.97999572753906
2023-02-15,18015.849609375,82.86759948730469,28.697193145751953,1834.199951171875,197.0800018310547
2023-02-16,18035.849609375,82.73770141601562,28.786846160888672,1842.0,197.35000610351562
2023-02-17,17944.19921875,82.69529724121094,29.05579376220703,1840.4000244140625,196.3000030517578
2023-02-20,17844.599609375,82.75800323486328,,,195.58999633789062
2023-02-21,17826.69921875,82.69750213623047,28.096532821655273,1833.0,195.25999450683594
2023-02-22,17554.30078125,82.86119842529297,27.971023559570312,1832.0,192.50999450683594
2023-02-23,17511.25,82.83529663085938,26.8234920501709,1818.0,192.00999450683594
2023-02-24,17465.80078125,82.6178970336914,26.733842849731445,1808.800048828125,191.4600067138672
2023-02-27,17392.69921875,82.91799926757812,26.626262664794922,1817.0,190.55999755859375
2023-02-28,17303.94921875,82.6520004272461,26.27662467956543,1828.9000244140625,189.6999969482422
2023-03-01,17450.900390625,82.6353988647461,26.384204864501953,1837.699951171875,191.27999877929688
2023-03-02,17321.900390625,82.4198989868164,26.088359832763672,1833.5,189.92999267578125
2023-03-03,17594.349609375,82.35569763183594,26.47385597229004,1847.699951171875,192.50999450683594
2023-03-06,17711.44921875,81.7125015258789,26.07042694091797,1847.9000244140625,193.6300048828125
2023-03-07,,81.85440063476562,25.209779739379883,1813.9000244140625,
2023-03-08,17754.400390625,82.07460021972656,25.344257354736328,1812.699951171875,193.9499969482422
2023-03-09,17589.599609375,81.9645004272461,25.012544631958008,1829.300048828125,192.63999938964844
2023-03-10,17412.900390625,82.01840209960938,24.851179122924805,1862.0,190.75
2023-03-13,17154.30078125,81.95800018310547,24.833250045776367,1911.699951171875,188.1199951171875
2023-03-14,17043.30078125,82.41739654541016,25.08426856994629,1906.199951171875,186.91000366210938
2023-03-15,16972.150390625,82.30490112304688,25.73871612548828,1926.5999755859375,186.10000610351562
2023-03-16,16985.599609375,82.7156982421875,27.083480834960938,1919.0,186.22999572753906
2023-03-17,17100.05078125,82.622802734375,26.729360580444336,1969.800048828125,187.4199981689453
2023-03-20,16988.400390625,82.53299713134766,26.697982788085938,1979.199951171875,186.1999969482422
2023-03-21,17107.5,82.52909851074219,26.85935401916504,1938.0,187.4600067138672
